UKPRN,HE Provider,academic_year,home,Total,perc_home
10007788,The University of Cambridge,14/15,945,13145,0.13910052910052909
10007788,The University of Cambridge,21/22,1315,15405,0.11714828897338403
10007774,The University of Oxford,14/15,3180,18660,0.05867924528301887
10007774,The University of Oxford,21/22,1670,18030,0.10796407185628742
10007784,University College London,14/15,7975,17255,0.021636363636363634
10007784,University College London,21/22,12030,22685,0.018857024106400666
10007167,The University of York,14/15,3685,13150,0.035685210312075985
10007167,The University of York,21/22,4000,17515,0.0437875
10007798,The University of Manchester,14/15,6325,26380,0.041707509881422924
10007798,The University of Manchester,21/22,6095,28235,0.04632485643970468
10007786,The University of Bristol,14/15,995,16635,0.16718592964824122
10007786,The University of Bristol,21/22,1395,22510,0.16136200716845878
