UKPRN,HE Provider,student_from,n_students,academic_year
10007783,The University of Aberdeen,Bath and North East Somerset,15,14/15
10007783,The University of Aberdeen,Bedford,5,14/15
10007783,The University of Aberdeen,Blackburn with Darwen,5,14/15
10007783,The University of Aberdeen,Blackpool,0,14/15
10007783,The University of Aberdeen,Bournemouth,5,14/15
10007783,The University of Aberdeen,Bracknell Forest,5,14/15
10007783,The University of Aberdeen,Brighton and Hove,10,14/15
10007783,The University of Aberdeen,Buckinghamshire,20,14/15
10007783,The University of Aberdeen,Cambridgeshire,25,14/15
10007783,The University of Aberdeen,Central Bedfordshire,5,14/15
10007783,The University of Aberdeen,Cheshire East,10,14/15
10007783,The University of Aberdeen,Cheshire West and Chester,15,14/15
10007783,The University of Aberdeen,City of Bristol,5,14/15
10007783,The University of Aberdeen,City of Derby,5,14/15
10007783,The University of Aberdeen,City of Kingston upon Hull,5,14/15
10007783,The University of Aberdeen,City of Leicester,5,14/15
10007783,The University of Aberdeen,City of Nottingham,0,14/15
10007783,The University of Aberdeen,City of Plymouth,5,14/15
10007783,The University of Aberdeen,City of Portsmouth,0,14/15
10007783,The University of Aberdeen,City of Southampton,5,14/15
10007783,The University of Aberdeen,City of Stoke-on-Trent,0,14/15
10007783,The University of Aberdeen,City of York,10,14/15
10007783,The University of Aberdeen,Cornwall,15,14/15
10007783,The University of Aberdeen,County Durham,25,14/15
10007783,The University of Aberdeen,Cumbria,40,14/15
10007783,The University of Aberdeen,Darlington,5,14/15
10007783,The University of Aberdeen,Derbyshire,10,14/15
10007783,The University of Aberdeen,Devon,20,14/15
10007783,The University of Aberdeen,Dorset,10,14/15
10007783,The University of Aberdeen,East Riding of Yorkshire,10,14/15
10007783,The University of Aberdeen,East Sussex,10,14/15
10007783,The University of Aberdeen,Essex,30,14/15
10007783,The University of Aberdeen,Gloucestershire,10,14/15
10007783,The University of Aberdeen,Greater London,265,14/15
10007783,The University of Aberdeen,Greater Manchester,50,14/15
10007783,The University of Aberdeen,Halton,0,14/15
10007783,The University of Aberdeen,Hampshire,30,14/15
10007783,The University of Aberdeen,Hartlepool,5,14/15
10007783,The University of Aberdeen,Herefordshire,5,14/15
10007783,The University of Aberdeen,Hertfordshire,40,14/15
10007783,The University of Aberdeen,Isle of Wight,5,14/15
10007783,The University of Aberdeen,Isles of Scilly,0,14/15
10007783,The University of Aberdeen,Kent,35,14/15
10007783,The University of Aberdeen,Lancashire,40,14/15
10007783,The University of Aberdeen,Leicestershire,15,14/15
10007783,The University of Aberdeen,Lincolnshire,15,14/15
10007783,The University of Aberdeen,Luton,5,14/15
10007783,The University of Aberdeen,Medway,5,14/15
10007783,The University of Aberdeen,Merseyside,40,14/15
10007783,The University of Aberdeen,Middlesbrough,0,14/15
10007783,The University of Aberdeen,Milton Keynes,5,14/15
10007783,The University of Aberdeen,Norfolk,20,14/15
10007783,The University of Aberdeen,North East Lincolnshire,0,14/15
10007783,The University of Aberdeen,North Lincolnshire,5,14/15
10007783,The University of Aberdeen,North Somerset,5,14/15
10007783,The University of Aberdeen,North Yorkshire,35,14/15
10007783,The University of Aberdeen,Northamptonshire,15,14/15
10007783,The University of Aberdeen,Northumberland,45,14/15
10007783,The University of Aberdeen,Nottinghamshire,15,14/15
